检测时间：2023-06-01-10:13:54 

X坐标	Y坐标	破损类型	置信度
0  0  D50  72
0  0  D50  58
0  0  D50  59
0  0  D50  28
0  0  D20  26
0  0  D20  36
0  0  D20  26
0  0  D20  25
0  0  D20  25
0  0  D20  47
0  0  D20  31
0  0  D20  33
0  0  D20  36
0  0  D20  49
0  0  D20  26
0  0  D20  35
0  0  D20  32
0  0  D20  40
0  0  D20  30
3  6  D20  48
4  7  D20  38
4  7  D20  45
5  8  D20  33
5  8  D20  64
5  9  D20  68
5  9  D20  37
5  9  D20  30
6  10  D20  36
6  10  D20  53
6  10  D20  58
6  10  D20  58
7  10  D20  59
6  10  D20  74
6  10  D20  71
6  10  D20  74
5  9  D20  70
5  7  D20  76
4  7  D20  77
3  6  D20  78
3  5  D20  65
2  1  D20  48
2  0  D20  39
1  1  D20  28
0  0  D20  52
0  0  D20  55
0  0  D20  44
0  0  D20  36
0  0  D20  31
0  0  D20  36
0  0  D20  25
0  0  D20  29
0  0  D20  50
0  0  D20  49
0  0  D20  30
0  0  D20  38
0  0  D20  31
0  0  D20  53
0  0  D20  26
0  0  D20  44
0  0  D20  40
0  0  D20  51
0  0  D20  43
0  0  D20  47
0  0  D20  40
0  0  D20  49
0  0  D20  47
0  0  D20  49
0  0  D20  54
0  0  D20  56
0  0  D20  52
0  0  D20  55
0  0  D20  53
0  0  D20  52
0  0  D20  41
0  0  D20  43
0  0  D20  44
0  0  D20  46
0  0  D20  41
0  0  D20  47
0  0  D20  42
0  0  D20  44
0  0  D20  47
0  0  D20  51
0  0  D20  49
0  0  D20  50
0  0  D20  49
